date,employee_id,shift_start_time,shift_end_time,break_1_start_time,break_1_end_time,lunch_start_time,lunch_end_time,break_2_start_time,break_2_end_time
2024-04-03,13531478,07:00,15:30,09:00,09:15,11:00,11:30,13:00,13:15
2024-04-04,13531478,07:00,15:30,09:00,09:15,11:00,11:30,13:00,13:15
2024-04-05,13531478,07:00,15:30,09:00,09:15,11:00,11:30,13:00,13:15
2024-04-06,13531478,07:00,15:30,09:00,09:15,11:00,11:30,13:00,13:15
2024-04-07,13531478,07:00,15:30,09:00,09:15,11:00,11:30,13:00,13:15
2024-04-10,13531478,07:00,15:30,09:00,09:15,11:00,11:30,13:00,13:15
2024-04-11,13531478,07:00,15:30,09:00,09:15,11:00,11:30,13:00,13:15
2024-04-12,13531478,07:00,15:30,09:00,09:15,11:00,11:30,13:00,13:15
2024-04-13,13531478,07:00,15:30,09:00,09:15,11:00,11:30,13:00,13:15
2024-04-14,13531478,07:00,15:30,09:00,09:15,11:00,11:30,13:00,13:15
2024-04-17,13531478,07:00,15:30,09:00,09:15,11:00,11:30,13:00,13:15
2024-04-18,13531478,07:00,15:30,09:00,09:15,11:00,11:30,13:00,13:15
2024-04-19,13531478,07:00,15:30,09:00,09:15,11:00,11:30,13:00,13:15
2024-04-20,13531478,07:00,15:30,09:00,09:15,11:00,11:30,13:00,13:15
2024-04-21,13531478,07:00,15:30,09:00,09:15,11:00,11:30,13:00,13:15
2024-04-24,13531478,07:00,15:30,09:00,09:15,11:00,11:30,13:00,13:15
2024-04-25,13531478,07:00,15:30,09:00,09:15,11:00,11:30,13:00,13:15
2024-04-26,13531478,07:00,15:30,09:00,09:15,11:00,11:30,13:00,13:15
2024-04-27,13531478,07:00,15:30,09:00,09:15,11:00,11:30,13:00,13:15
2024-04-28,13531478,07:00,15:30,09:00,09:15,11:00,11:30,13:00,13:15
2024-04-01,86049659,07:00,15:30,09:00,09:15,11:00,11:30,13:00,13:15
2024-04-02,86049659,07:00,15:30,09:00,09:15,11:00,11:30,13:00,13:15
2024-04-03,86049659,07:00,15:30,09:00,09:15,11:00,11:30,13:00,13:15
2024-04-05,86049659,07:00,15:30,09:00,09:15,11:00,11:30,13:00,13:15
2024-04-06,86049659,07:00,15:30,09:00,09:15,11:00,11:30,13:00,13:15
2024-04-08,86049659,07:00,15:30,09:00,09:15,11:00,11:30,13:00,13:15
2024-04-09,86049659,07:00,15:30,09:00,09:15,11:00,11:30,13:00,13:15
2024-04-10,86049659,07:00,15:30,09:00,09:15,11:00,11:30,13:00,13:15
2024-04-12,86049659,07:00,15:30,09:00,09:15,11:00,11:30,13:00,13:15
2024-04-13,86049659,07:00,15:30,09:00,09:15,11:00,11:30,13:00,13:15
2024-04-15,86049659,07:00,15:30,09:00,09:15,11:00,11:30,13:00,13:15
2024-04-16,86049659,07:00,15:30,09:00,09:15,11:00,11:30,13:00,13:15
2024-04-17,86049659,07:00,15:30,09:00,09:15,11:00,11:30,13:00,13:15
2024-04-19,86049659,07:00,15:30,09:00,09:15,11:00,11:30,13:00,13:15
2024-04-20,86049659,07:00,15:30,09:00,09:15,11:00,11:30,13:00,13:15
2024-04-22,86049659,07:00,15:30,09:00,09:15,11:00,11:30,13:00,13:15
2024-04-23,86049659,07:00,15:30,09:00,09:15,11:00,11:30,13:00,13:15
2024-04-24,86049659,07:00,15:30,09:00,09:15,11:00,11:30,13:00,13:15
